Wavelength,Flux,BestFit,SkyFlux
4372.200,27.939,20.614,6.315
4373.207,29.721,22.641,6.313
4374.214,29.424,23.754,6.721
4375.221,30.049,23.251,7.058
4376.229,30.572,22.419,7.055
4377.236,28.693,21.606,6.831
4378.244,28.208,23.505,6.667
4379.253,30.896,25.237,6.636
4380.261,32.668,27.370,6.379
4381.270,31.400,29.320,5.888
4382.279,33.665,28.829,6.145
4383.288,29.461,27.736,6.187
4384.297,31.975,28.631,5.282
4385.307,31.062,29.710,4.957
4386.317,31.130,29.542,5.502
4387.327,34.629,30.092,6.015
4388.337,38.302,32.649,5.799
4389.348,37.526,31.272,5.512
4390.359,32.772,31.348,5.828
4391.370,30.400,31.789,6.393
4392.381,32.868,31.203,6.590
4393.392,34.594,30.030,6.425
4394.404,32.336,29.489,6.248
4395.416,29.399,29.441,6.209
4396.428,30.083,31.088,6.567
4397.441,32.051,31.883,6.457
4398.453,29.012,30.581,6.135
4399.466,29.927,28.216,6.247
4400.479,27.792,27.297,6.649
4401.493,28.233,29.247,7.066
4402.506,30.016,30.509,7.134
4403.520,27.909,32.545,6.954
4404.534,28.503,34.326,6.956
4405.549,32.846,34.378,6.923
4406.563,33.075,32.436,6.903
4407.578,29.690,28.898,7.211
4408.593,30.357,25.727,7.555
4409.608,31.726,26.099,7.719
4410.624,27.567,27.742,8.009
4411.639,28.526,28.852,7.651
4412.655,31.744,29.888,7.793
4413.671,27.915,29.856,8.525
4414.688,27.574,29.741,7.899
4415.704,30.010,31.440,7.965
4416.721,28.536,31.281,8.168
4417.738,26.230,29.930,7.738
4418.756,28.065,31.090,7.324
4419.773,30.593,29.399,7.205
4420.791,30.592,27.655,7.360
4421.809,29.921,31.269,7.741
4422.827,28.635,33.433,7.767
4423.846,28.704,31.763,7.481
4424.865,30.676,30.895,7.448
4425.884,30.081,28.497,7.461
4426.903,31.780,29.974,7.155
4427.922,28.375,31.613,7.143
4428.942,30.335,31.217,7.589
4429.962,28.295,29.269,7.509
4430.982,26.901,28.513,7.145
4432.003,29.602,31.863,6.779
4433.023,29.451,30.306,6.950
4434.044,28.152,29.887,7.032
4435.065,27.636,30.418,6.541
4436.086,28.314,30.995,6.119
4437.108,30.291,32.500,6.467
4438.130,28.791,31.968,7.015
4439.152,31.923,29.711,7.397
4440.174,29.673,29.676,7.415
4441.197,25.856,29.254,6.986
4442.219,27.572,27.129,6.749
4443.242,27.281,26.345,6.800
4444.266,32.517,28.534,6.772
4445.289,30.753,31.546,7.085
4446.313,29.699,30.940,6.665
4447.337,27.823,29.692,6.910
4448.361,27.089,29.860,7.042
4449.385,29.194,30.005,6.355
4450.410,29.323,30.733,6.139
4451.435,29.404,29.636,6.696
4452.460,30.953,28.919,7.024
4453.485,27.969,28.851,6.267
4454.511,29.957,28.448,5.726
4455.536,28.516,27.749,5.736
4456.562,30.322,28.810,5.905
4457.589,28.292,29.762,5.909
4458.615,28.333,29.432,5.665
4459.642,30.285,28.670,5.676
4460.669,29.836,28.046,6.037
4461.696,26.771,28.067,6.291
4462.724,27.466,30.735,6.358
4463.751,26.722,31.420,6.291
4464.779,28.163,30.936,5.939
4465.808,28.578,30.681,5.716
4466.836,27.045,29.790,6.141
4467.865,29.737,27.284,6.532
4468.893,25.715,26.848,6.228
4469.923,27.269,28.414,6.314
