objid,ra,dec,u,g,r,i,z
1237646797064045695,121.7160535,0.043022098,21.95001,21.4052,21.42257,21.13737,21.63077
1237646797599999139,119.6797697,0.442112112,21.06391,20.42407,20.36917,20.37266,20.15151
1237646797600063598,119.7424273,0.453534423,21.32687,20.69272,20.65808,20.51272,20.1043
1237646797600130537,119.9668632,0.538978467,22.60478,21.70856,21.69832,21.59405,21.85413
1237646797600130558,119.9771514,0.440370329,22.5714,21.74461,21.75763,21.52683,21.37616
1237646797600588792,121.0626207,0.482296528,20.8094,19.98468,20.00809,19.95584,19.41011
1237646797600588969,120.9955607,0.488140278,22.46528,21.69511,21.48504,21.63212,21.13934
1237646797600718918,121.2240631,0.529603094,24.13953,21.39889,21.11297,21.07856,20.88959
1237646797600719747,121.3342253,0.501734928,20.74522,20.24419,20.23184,20.25829,19.9919
1237646797600720465,121.3277333,0.57374467,22.86215,21.9326,21.88889,21.83626,21.73316
1237646797600784418,121.378259,0.453106691,21.73672,21.08044,21.00436,20.75266,20.92956
1237646797600785540,121.4558344,0.493376522,21.98744,21.16896,21.0754,21.20094,21.29164
1237646798136935945,119.7908242,0.904545068,24.36052,21.00296,20.61796,20.39351,20.84826
1237646798137001083,119.9046361,0.95134743,22.05634,21.4706,21.44177,21.58541,21.37818
1237646798137328243,120.6291554,0.892041096,23.14746,21.52843,21.54255,21.3432,20.49175
1237646798137590272,121.3666999,0.888648846,23.9734,21.73835,21.48496,21.11744,21.21087
1237646798137656189,121.4453985,1.00625082,21.33461,20.60029,20.4187,20.29558,19.67609
1237646798137787277,121.795226,0.956769679,20.49007,19.0579,18.78306,18.64614,18.68652
1237646798137852889,121.8258398,0.863745627,21.71386,21.12986,20.98407,20.97135,20.6322
1237646798137983697,122.2275186,0.919658436,20.50015,19.94686,19.96168,19.75632,19.68505
1237646798138180456,122.5889662,0.965754555,21.64706,20.44686,20.23659,20.06614,19.85406
1237646798138180977,122.7111008,0.900452419,24.24541,22.07784,21.69557,20.95477,20.97346
1237646798138508210,123.4325922,0.904114162,21.01398,20.69743,20.7359,20.33495,20.11661
1237646798138573844,123.5363745,0.982097226,20.90081,20.40429,20.26063,20.23198,19.92652
1237646798673675626,119.4731253,1.332573979,23.59734,20.99922,20.73905,20.78574,20.84575
1237646798673937371,120.1163684,1.363435691,21.87163,19.27628,18.85872,18.8154,18.71938
1237646798674264598,120.8322151,1.331855471,20.69559,20.06697,20.07946,20.06146,19.86136
1237648596653900291,245.593953,-0.41884946,20.69584,19.49721,18.68717,18.09349,17.79204
1237648597189985019,243.7809356,0.005639781,23.03507,20.60028,18.7249,18.06705,17.56655
1237648597726658810,243.3470265,0.424137068,19.25283,18.83759,18.86754,18.69795,18.79276
1237648672891011140,174.1453566,-0.9585582,19.86869,19.24654,19.20105,19.17731,19.19877
1237648672921485934,243.8473685,-0.898343243,19.40608,18.88019,18.55951,18.58313,18.39153
1237648672922009716,244.9490533,-0.8942349,19.15536,18.90867,18.60996,18.37849,18.41926
1237648673456259238,238.9877701,-0.602334744,18.14521,17.74633,17.57779,17.57384,17.45613
1237648673456259550,239.0054989,-0.616466899,19.64641,19.15814,19.03428,19.0526,18.86271
1237648673456521499,239.54234,-0.522224191,19.26256,17.74838,17.5247,17.37344,17.14715
1237648673458421817,243.8843939,-0.458423126,17.00982,16.81248,16.46985,16.01395,15.98078
1237648673458946200,245.1284933,-0.499415428,19.18229,18.79663,18.81184,18.61241,18.51182
1237648673459142758,245.523631,-0.455689139,19.61192,19.15068,19.16203,18.9175,18.86809
1237648673459798485,247.0211391,-0.448676622,19.23174,19.07776,18.77985,18.80765,18.9884
1237648673971437819,189.4220864,-0.161938598,21.56965,21.07231,20.99227,21.03638,20.52502
1237648673971438150,189.4632858,-0.1605944,24.05171,22.00811,21.78645,21.48888,21.42718
1237648673987232176,225.5797442,-0.075914919,20.97398,20.32336,20.28135,20.35454,20.03356
1237648673992605833,237.8491551,-0.155026531,19.6388,19.36689,19.16351,18.90692,18.93747
1237648673992671546,237.9084751,-0.074423512,20.17747,19.66531,19.21092,19.03162,18.53648
1237648673992869233,238.3526125,-0.150726584,25.10751,24.44456,23.36933,20.65763,19.20393
1237648673993130283,238.9410765,-0.192471859,20.07754,19.72081,19.29312,19.11477,19.02352
