Wavelength,Flux,BestFit,SkyFlux
4120.026,1.922,2.633,3.067
4120.975,1.922,2.604,3.054
4121.924,2.297,2.624,3.083
4122.873,3.117,2.647,3.129
4123.823,3.217,2.659,3.172
4124.772,2.028,2.655,3.416
4125.722,2.517,2.608,3.296
4126.672,2.730,2.670,3.237
4127.623,2.822,2.661,3.171
4128.573,2.817,2.631,3.232
4129.524,2.528,2.622,3.320
4130.475,2.102,2.617,3.324
4131.426,2.324,2.620,3.284
4132.378,3.179,2.626,3.110
4133.329,2.995,2.630,3.278
4134.281,2.924,2.603,3.124
4135.233,2.600,2.595,3.346
4136.185,1.537,2.628,3.390
4137.138,3.485,2.606,3.447
4138.091,2.682,2.624,3.502
4139.044,2.262,2.593,3.444
4139.997,2.417,2.572,3.646
4140.950,2.889,2.621,3.927
4141.904,3.378,2.669,3.606
4142.858,1.669,2.565,3.529
4143.812,2.989,2.531,2.967
4144.766,3.529,2.546,2.642
4145.720,2.134,2.536,2.743
4146.675,1.474,2.544,2.991
4147.630,3.099,2.588,3.268
4148.585,2.401,2.550,3.107
4149.540,2.416,2.585,3.011
4150.496,3.191,2.588,3.037
4151.452,2.994,2.598,2.974
4152.408,2.405,2.599,2.927
4153.364,2.868,2.546,3.224
4154.321,2.124,2.501,3.453
4155.277,1.879,2.542,3.527
4156.234,2.303,2.552,3.541
4157.191,2.722,2.526,3.549
4158.149,2.823,2.540,3.716
4159.106,2.900,2.591,3.706
4160.064,3.138,2.550,3.479
4161.022,2.557,2.561,3.530
4161.980,3.697,2.561,3.789
4162.939,2.956,2.569,3.628
4163.897,1.526,2.580,4.206
4164.856,3.282,2.568,4.127
4165.815,2.443,2.554,4.589
4166.775,2.292,2.581,4.377
4167.734,1.542,2.566,4.206
4168.694,1.695,2.564,4.136
4169.654,2.527,2.602,4.011
4170.614,1.945,2.621,4.070
4171.574,1.143,2.557,3.972
4172.535,1.515,2.557,3.867
4173.496,2.830,2.552,3.627
4174.457,3.185,2.565,3.453
4175.418,2.895,2.591,3.416
4176.380,3.271,2.584,3.298
4177.342,2.342,2.534,3.343
4178.304,2.708,2.577,3.435
4179.266,1.477,2.596,3.506
4180.228,1.929,2.566,3.462
4181.191,3.722,2.575,3.218
4182.154,2.958,2.644,3.322
4183.117,2.447,2.619,3.257
4184.080,2.505,2.578,3.269
4185.044,2.249,2.623,3.095
4186.007,2.569,2.619,3.163
4186.971,3.090,2.572,3.165
4187.936,2.338,2.556,3.138
4188.900,1.521,2.518,2.954
4189.865,3.191,2.542,2.878
4190.830,2.784,2.591,3.058
4191.795,2.009,2.605,3.190
4192.760,2.524,2.595,3.019
4193.725,2.604,2.600,2.979
4194.691,1.180,2.596,3.118
4195.657,3.641,2.552,3.204
4196.623,2.923,2.582,3.033
4197.590,1.476,2.587,2.773
4198.556,1.498,2.558,2.539
4199.523,1.513,2.575,2.443
4200.490,2.523,2.621,2.606
4201.458,2.180,2.581,2.803
4202.425,3.030,2.563,2.760
4203.393,2.733,2.560,2.728
4204.361,1.730,2.547,2.588
4205.329,2.514,2.536,2.939
4206.298,1.440,2.560,3.083
4207.266,2.051,2.581,3.116
4208.235,2.705,2.546,3.159
4209.204,2.719,2.512,3.345
4210.174,2.493,2.514,3.233
4211.143,2.514,2.538,3.266
4212.113,2.723,2.551,3.341
4213.083,2.553,2.536,3.082
4214.053,3.219,2.541,3.186
4215.023,3.242,2.524,3.088
4215.994,2.122,2.517,2.745
4216.965,1.756,2.559,2.898
4217.936,3.427,2.576,2.980
4218.907,3.121,2.576,3.097
